route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
7180161307GL026,2022-09-222022-12-10001651,0016512022-09-22,,00165,,,,1                                                                                                                                                                                                                                                                                       
7180161200GL026,2022-09-222022-12-10001653,0016532022-09-22,,00165,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL026,2022-09-222022-12-10001901,0019012022-09-22,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL026,2022-09-222022-12-10001902,0019022022-09-22,,00190,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL026,2022-09-222022-12-10001931,0019312022-09-22,,00193,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL026,2022-09-222022-12-10001932,0019322022-09-22,,00193,,,,2                                                                                                                                                                                                                                                                                       
1700037606GL023,2022-09-222022-12-10001941,0019412022-09-22,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2022-09-222022-12-10001942,0019422022-09-22,,00194,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-09-222022-12-10001971,0019712022-09-22,,00197,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2022-09-222022-12-10001972,0019722022-09-22,,00197,,,,2                                                                                                                                                                                                                                                                                       
6130771801GL026,2022-09-222022-10-13002641,0026412022-09-22,,00264,,,,1                                                                                                                                                                                                                                                                                       
6130771801GL026,2022-10-142022-11-06002641,0026412022-10-14,,00264,,,,1                                                                                                                                                                                                                                                                                       
6130771801GL026,2022-11-072022-12-10002641,0026412022-11-07,,00264,,,,1                                                                                                                                                                                                                                                                                       
6120071801GL026,2022-09-222022-10-13002643,0026432022-09-22,,00264,,,,2                                                                                                                                                                                                                                                                                       
6120071801GL026,2022-10-142022-11-06002643,0026432022-10-14,,00264,,,,2                                                                                                                                                                                                                                                                                       
6120071801GL026,2022-11-072022-12-10002643,0026432022-11-07,,00264,,,,2                                                                                                                                                                                                                                                                                       
1700056312GL026,2022-09-222022-12-10002761,0027612022-09-22,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2022-09-222022-12-10002762,0027622022-09-22,,00276,,,,2                                                                                                                                                                                                                                                                                       
5631217000GL026,2022-09-222022-12-10002771,0027712022-09-22,,00277,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2022-09-222022-12-10002772,0027722022-09-22,,00277,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL026,2022-09-222022-11-16002801,0028012022-09-22,,00280,,,,1                                                                                                                                                                                                                                                                                       
1151111208GL026,2022-09-222022-11-16002811,0028112022-09-22,,00281,,,,1                                                                                                                                                                                                                                                                                       
1120811511GL026,2022-09-222022-11-16002821,0028212022-09-22,,00282,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL026,2022-09-222022-11-16002831,0028312022-09-22,,00283,,,,1                                                                                                                                                                                                                                                                                       
1320071801GL023,2022-09-222022-12-10004371,0043712022-09-22,,00437,,,,1                                                                                                                                                                                                                                                                                       
0404071801GL023,2022-09-222022-12-10004372,0043722022-09-22,,00437,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL023,2022-09-222022-12-10004373,0043732022-09-22,,00437,,,,2                                                                                                                                                                                                                                                                                       
7180113200GL023,2022-09-222022-12-10004381,0043812022-09-22,,00438,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2022-09-222022-12-10004382,0043822022-09-22,,00438,,,,2                                                                                                                                                                                                                                                                                       
1120013200GL023,2022-09-222022-12-10004383,0043832022-09-22,,00438,,,,2                                                                                                                                                                                                                                                                                       
7180111511GL023,2022-09-222022-12-10005301,0053012022-09-22,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2022-09-222022-12-10005302,0053022022-09-22,,00530,,,,2                                                                                                                                                                                                                                                                                       
1151171801GL023,2022-09-222022-12-10005331,0053312022-09-22,,00533,,,,1                                                                                                                                                                                                                                                                                       
1151178400GL023,2022-09-222022-12-10005332,0053322022-09-22,,00533,,,,2                                                                                                                                                                                                                                                                                       
2030922100GL026,2022-09-222022-10-10005581,0055812022-09-22,,00558,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2022-10-122022-10-30005581,0055812022-10-12,,00558,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2022-11-012022-11-14005581,0055812022-11-01,,00558,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2022-09-222022-10-10005601,0056012022-09-22,,00560,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2022-10-122022-10-30005601,0056012022-10-12,,00560,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2022-11-012022-11-14005601,0056012022-11-01,,00560,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2022-09-222022-12-10005621,0056212022-09-22,,00562,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2022-09-222022-12-10005631,0056312022-09-22,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-12-10006001,0060012022-09-22,,00600,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-11006011,0060112022-09-22,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-10-132022-10-21006011,0060112022-10-13,,00601,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-10-23006021,0060212022-09-22,,00602,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-10-242022-12-10006021,0060212022-10-24,,00602,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-12-10006031,0060312022-09-22,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-23006051,0060512022-09-22,,00605,,,,1                                                                                                                                                                                                                                                                                       
