route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
8010060000GL023,2022-09-222022-12-10006061,0060612022-09-22,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-10-21006081,0060812022-09-22,,00608,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-23006091,0060912022-09-22,,00609,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-10-242022-12-10006091,0060912022-10-24,,00609,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-23006092,0060922022-09-22,,00609,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-12-10006101,0061012022-09-22,,00610,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-10-23006121,0061212022-09-22,,00612,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-23006131,0061312022-09-22,,00613,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2022-09-222022-11-13006211,0062112022-09-22,,00621,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2022-09-222022-11-13006212,0062122022-09-22,,00621,,,,2                                                                                                                                                                                                                                                                                       
2230871801GL023,2022-09-222022-11-13006213,0062132022-09-22,,00621,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2022-09-222022-11-13006214,0062142022-09-22,,00621,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2022-09-222022-11-13006221,0062212022-09-22,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2022-09-222022-11-13006222,0062222022-09-22,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2022-09-222022-11-13006223,0062232022-09-22,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2022-09-222022-11-13006224,0062242022-09-22,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2022-09-222022-11-13006225,0062252022-09-22,,00622,,,,2                                                                                                                                                                                                                                                                                       
1120815100GL023,2022-09-222022-11-13006226,0062262022-09-22,,00622,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2022-09-222022-11-13006251,0062512022-09-22,,00625,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2022-09-222022-11-13006252,0062522022-09-22,,00625,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2022-09-222022-11-13006253,0062532022-09-22,,00625,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2022-09-222022-11-13006254,0062542022-09-22,,00625,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2022-09-222022-11-13006261,0062612022-09-22,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2022-09-222022-11-13006262,0062622022-09-22,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2022-09-222022-11-13006263,0062632022-09-22,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2022-09-222022-11-13006264,0062642022-09-22,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2022-09-222022-11-13006265,0062652022-09-22,,00626,,,,2                                                                                                                                                                                                                                                                                       
1120815100GL023,2022-09-222022-11-13006266,0062662022-09-22,,00626,,,,2                                                                                                                                                                                                                                                                                       
3010071801GL023,2022-09-222022-11-13006311,0063112022-09-22,,00631,,,,1                                                                                                                                                                                                                                                                                       
0404078400GL023,2022-09-222022-11-13006313,0063132022-09-22,,00631,,,,2                                                                                                                                                                                                                                                                                       
1120011208GL023,2022-09-222022-11-13006314,0063142022-09-22,,00631,,,,2                                                                                                                                                                                                                                                                                       
7180130100GL023,2022-09-222022-11-13006321,0063212022-09-22,,00632,,,,2                                                                                                                                                                                                                                                                                       
7180130100GL023,2022-09-222022-11-13006322,0063222022-09-22,,00632,,,,1                                                                                                                                                                                                                                                                                       
7840030100GL023,2022-09-222022-11-13006323,0063232022-09-22,,00632,,,,2                                                                                                                                                                                                                                                                                       
7840011200GL023,2022-09-222022-11-13006324,0063242022-09-22,,00632,,,,2                                                                                                                                                                                                                                                                                       
5140571801GL026,2022-09-222022-12-10006941,0069412022-09-22,,00694,,,,1                                                                                                                                                                                                                                                                                       
5100371801GL026,2022-09-222022-12-10006942,0069422022-09-22,,00694,,,,2                                                                                                                                                                                                                                                                                       
7180151405GL026,2022-09-222022-12-10006971,0069712022-09-22,,00697,,,,1                                                                                                                                                                                                                                                                                       
7180151003GL026,2022-09-222022-12-10006972,0069722022-09-22,,00697,,,,2                                                                                                                                                                                                                                                                                       
6000081100GL023,2022-09-222022-12-10007011,0070112022-09-22,,00701,,,,1                                                                                                                                                                                                                                                                                       
6000081110GL023,2022-09-222022-12-10007012,0070122022-09-22,,00701,,,,2                                                                                                                                                                                                                                                                                       
8110060000GL023,2022-09-222022-12-10007021,0070212022-09-22,,00702,,,,1                                                                                                                                                                                                                                                                                       
8111060000GL023,2022-09-222022-12-10007022,0070222022-09-22,,00702,,,,2                                                                                                                                                                                                                                                                                       
6000081100GL023,2022-09-222022-10-23007051,0070512022-09-22,,00705,,,,1                                                                                                                                                                                                                                                                                       
8110060000GL023,2022-09-222022-10-23007061,0070612022-09-22,,00706,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-09-222022-10-23008011,0080112022-09-22,,00801,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-09-222022-10-11008021,0080212022-09-22,,00802,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-10-132022-10-21008021,0080212022-10-13,,00802,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-09-252022-09-30010711,0107112022-09-25,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-022022-10-07010711,0107112022-10-02,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-092022-10-14010711,0107112022-10-09,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-162022-10-21010711,0107112022-10-16,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-232022-10-28010711,0107112022-10-23,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-292022-10-29010711,0107112022-10-29,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-10-302022-11-04010711,0107112022-10-30,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-11-062022-11-11010711,0107112022-11-06,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-11-122022-11-12010711,0107112022-11-12,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-11-132022-11-18010711,0107112022-11-13,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-11-202022-11-25010711,0107112022-11-20,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-11-272022-12-02010711,0107112022-11-27,,01071,,,,1                                                                                                                                                                                                                                                                                       
7180160911GL012,2022-12-042022-12-09010711,0107112022-12-04,,01071,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-09-242022-09-24010721,0107212022-09-24,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-09-252022-09-30010721,0107212022-09-25,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-012022-10-01010721,0107212022-10-01,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-022022-10-07010721,0107212022-10-02,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-082022-10-08010721,0107212022-10-08,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-092022-10-11010721,0107212022-10-09,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-132022-10-14010721,0107212022-10-13,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-152022-10-15010721,0107212022-10-15,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-162022-10-21010721,0107212022-10-16,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-222022-10-22010721,0107212022-10-22,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-232022-10-28010721,0107212022-10-23,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-292022-10-29010721,0107212022-10-29,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-10-302022-10-31010721,0107212022-10-30,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-11-022022-11-04010721,0107212022-11-02,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-11-052022-11-05010721,0107212022-11-05,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-11-062022-11-11010721,0107212022-11-06,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-11-122022-11-12010721,0107212022-11-12,,01072,,,,1                                                                                                                                                                                                                                                                                       
0321671801GL023,2022-11-132022-11-18010721,0107212022-11-13,,01072,,,,1                                                                                                                                                                                                                                                                                       
